Date,Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 -,A2 -,A[1],A[2]
102517,BA1652,AG,24,1,6753,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6757,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6765,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6767,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6850,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6851,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6860,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6861,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6862,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6870,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,6871,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6900,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6905,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6908,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6910,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,6911,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6915,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6921,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6924,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6927,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,6929,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6931,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6946,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6956,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6978,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6979,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6983,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6989,8,9,0,0,0,0,0
102517,BA1652,AG,24,1,6998,9,0,0,0,1,0,0
102517,BA1652,AG,24,1,6999,9,10,0,0,0,0,0
102517,BA1652,AG,24,1,7000,10,0,0,0,0,0,1
102517,BA1652,AG,24,1,7074,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,7075,2,6,0,0,0,0,0
102517,BA1652,AG,24,1,7555,6,8,2,0,1,0,0
102517,BA1652,AG,24,1,7562,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7565,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7569,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7572,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7579,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7602,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7610,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7612,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7615,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7620,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7625,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7632,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7642,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7662,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,7672,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7674,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7679,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,7682,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7683,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,7703,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7707,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7713,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7733,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7741,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7743,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7750,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7755,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7760,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7805,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7811,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7814,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,7815,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7817,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,7826,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7831,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7836,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7854,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7864,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7877,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,7885,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7895,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7901,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,7907,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7908,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7912,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,7914,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7917,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7922,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7925,8,0,0,0,1,0,1
102517,BA1652,AG,24,1,7928,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7932,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7953,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7963,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7971,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,7973,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7981,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7983,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,7985,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,7988,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,7991,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,7995,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8013,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8014,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8024,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8035,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8038,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8048,8,9,0,0,0,0,0
102517,BA1652,AG,24,1,8057,9,0,0,0,0,0,1
102517,BA1652,AG,24,1,8058,9,10,0,0,0,0,0
102517,BA1652,AG,24,1,8133,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,8134,2,6,0,0,0,0,0
102517,BA1652,AG,24,1,8263,6,8,2,0,1,0,0
102517,BA1652,AG,24,1,8269,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8271,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,8273,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8284,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8289,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8298,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8299,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8300,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8310,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8420,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8425,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8435,8,7,0,0,0,0,1
102517,BA1652,AG,24,1,8445,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8451,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8454,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,8455,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8531,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8537,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8547,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8585,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8588,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8595,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8598,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8621,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8622,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8627,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,8628,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8631,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8651,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8661,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8682,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8687,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8697,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8712,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8715,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8720,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8725,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8765,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8774,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8775,8,7,0,0,1,0,0
102517,BA1652,AG,24,1,8792,7,8,2,0,1,0,1
102517,BA1652,AG,24,1,8802,8,7,0,0,0,0,1
102517,BA1652,AG,24,1,8805,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8810,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8814,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,8815,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8821,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8823,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8833,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8860,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8909,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8916,8,0,0,0,1,0,1
102517,BA1652,AG,24,1,8919,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8949,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8956,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8959,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8964,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,8966,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,8969,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,8975,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,8982,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,8985,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9008,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9018,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9033,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,9070,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9080,8,9,0,0,0,0,0
102517,BA1652,AG,24,1,9090,9,10,0,0,0,0,0
102517,BA1652,AG,24,1,9091,10,0,0,0,0,0,1
102517,BA1652,AG,24,1,9165,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,9166,2,3,0,0,0,0,0
102517,BA1652,AG,24,1,9246,3,5,1,1,0,0,0
102517,BA1652,AG,24,1,9251,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,9252,5,0,0,1,0,0,0
102517,BA1652,AG,24,1,9256,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,9309,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,9311,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,9321,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,9333,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,9337,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,9344,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,9347,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,9376,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,9386,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,9430,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,9432,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,9442,5,9,0,0,0,0,0
102517,BA1652,AG,24,1,9452,9,10,0,0,0,0,0
102517,BA1652,AG,24,1,9453,10,0,0,0,0,1,0
102517,BA1652,AG,24,1,9527,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,9528,2,6,0,0,0,0,0
102517,BA1652,AG,24,1,9898,6,8,2,0,1,0,0
102517,BA1652,AG,24,1,9902,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9908,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9910,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9911,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9912,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,9913,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9920,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9926,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9927,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9936,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9937,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9941,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9947,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9969,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9974,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9979,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,9987,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,9994,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,9995,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,9997,8,7,0,0,0,0,1
102517,BA1652,AG,24,1,10004,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10006,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10014,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10083,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10090,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10093,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10098,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10108,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10124,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,10125,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10132,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10135,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10147,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10150,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10157,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10169,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10176,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10179,8,7,0,0,1,0,0
102517,BA1652,AG,24,1,10181,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,10193,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10203,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10204,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,10213,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10223,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10227,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,10293,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10302,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10303,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10315,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10318,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10325,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10359,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10361,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10367,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,10369,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10388,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,10392,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10401,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10402,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10408,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10409,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10418,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,10421,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,10424,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,10426,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,10431,8,9,0,0,0,0,0
102517,BA1652,AG,24,1,10438,9,0,0,0,0,0,1
102517,BA1652,AG,24,1,10441,9,10,0,0,0,0,0
102517,BA1652,AG,24,1,10516,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,10517,2,3,0,0,0,0,0
102517,BA1652,AG,24,1,10588,3,5,1,1,0,0,0
102517,BA1652,AG,24,1,10596,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,10598,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,10599,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,10609,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,10710,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,10752,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,10754,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,10757,5,0,0,1,0,0,0
102517,BA1652,AG,24,1,10761,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,10762,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,10770,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,10776,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,10779,5,0,0,1,0,0,0
102517,BA1652,AG,24,1,10780,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,10797,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,10800,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,10807,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,10808,5,0,0,1,0,0,0
102517,BA1652,AG,24,1,10810,5,9,0,0,0,0,0
