Subject,UID,Protocol,Run,Time,curr_state,next_state,tx_event,l_lever,r_lever,l_lev_off,r_lev_off
BA1651,AG,6,1,7983.94,10,2,0,0,0,0,0
BA1651,AG,6,1,7983.96,2,6,0,0,0,0,0
BA1651,AG,6,1,7998.64,6,8,2,0,1,0,0
BA1651,AG,6,1,7998.84,8,9,0,0,0,0,0
BA1651,AG,6,1,7999.04,9,10,0,0,0,0,0
BA1651,AG,6,1,7999.14,10,0,0,0,0,0,1
BA1651,AG,6,1,8000.04,10,2,0,0,0,0,0
BA1651,AG,6,1,8000.06,2,3,0,0,0,0,0
BA1651,AG,6,1,8001.26,3,0,0,0,1,0,0
BA1651,AG,6,1,8002.66,3,0,0,0,0,0,1
BA1651,AG,6,1,8006.66,3,0,0,0,1,0,0
BA1651,AG,6,1,8007.48,3,0,0,0,0,0,1
BA1651,AG,6,1,8010.84,3,0,0,0,1,0,0
BA1651,AG,6,1,8015.36,3,0,0,0,0,0,1
BA1651,AG,6,1,8015.7,3,0,0,0,1,0,0
BA1651,AG,6,1,8016.24,3,0,0,0,0,0,1
BA1651,AG,6,1,8016.36,3,0,0,0,1,0,0
BA1651,AG,6,1,8016.5,3,0,0,0,0,0,1
BA1651,AG,6,1,8023.26,3,0,0,0,1,0,0
BA1651,AG,6,1,8024.42,3,0,0,0,0,0,1
BA1651,AG,6,1,8024.46,3,0,0,0,1,0,0
BA1651,AG,6,1,8025.08,3,0,0,0,0,0,1
BA1651,AG,6,1,8027.34,3,5,1,1,0,0,0
BA1651,AG,6,1,8027.46,5,0,0,0,0,1,0
BA1651,AG,6,1,8027.54,5,9,0,1,0,0,0
BA1651,AG,6,1,8027.74,9,10,0,0,0,0,0
BA1651,AG,6,1,8027.84,10,0,0,0,0,1,0
BA1651,AG,6,1,8028.74,10,2,0,0,0,0,0
BA1651,AG,6,1,8028.76,2,6,0,0,0,0,0
BA1651,AG,6,1,8030.3,6,0,0,1,0,0,0
BA1651,AG,6,1,8030.6,6,0,0,0,0,1,0
BA1651,AG,6,1,8035.0,6,0,0,1,0,0,0
BA1651,AG,6,1,8035.3,6,0,0,0,0,1,0
BA1651,AG,6,1,8039.7,6,8,2,0,1,0,0
BA1651,AG,6,1,8039.9,8,9,0,0,0,0,0
BA1651,AG,6,1,8040.1,9,10,0,0,0,0,1
BA1651,AG,6,1,8040.14,10,0,0,0,1,0,0
BA1651,AG,6,1,8040.38,10,0,0,0,0,0,1
BA1651,AG,6,1,8041.1,10,2,0,0,0,0,0
BA1651,AG,6,1,8041.12,2,6,0,0,0,0,0
BA1651,AG,6,1,8042.98,6,8,2,0,1,0,0
BA1651,AG,6,1,8043.18,8,9,0,0,0,0,0
BA1651,AG,6,1,8043.38,9,10,0,0,0,0,0
BA1651,AG,6,1,8043.48,10,0,0,0,0,0,1
BA1651,AG,6,1,8044.38,10,2,0,0,0,0,0
BA1651,AG,6,1,8044.4,2,3,0,0,0,0,0
BA1651,AG,6,1,8046.5,3,0,0,0,1,0,0
BA1651,AG,6,1,8047.14,3,0,0,0,0,0,1
BA1651,AG,6,1,8047.88,3,0,0,0,1,0,0
BA1651,AG,6,1,8048.44,3,0,0,0,0,0,1
BA1651,AG,6,1,8048.72,3,0,0,0,1,0,0
BA1651,AG,6,1,8048.82,3,0,0,0,0,0,1
BA1651,AG,6,1,8048.88,3,0,0,0,1,0,0
BA1651,AG,6,1,8048.92,3,0,0,0,0,0,1
BA1651,AG,6,1,8050.88,3,0,0,0,1,0,0
BA1651,AG,6,1,8050.98,3,0,0,0,0,0,1
BA1651,AG,6,1,8051.18,3,0,0,0,1,0,0
BA1651,AG,6,1,8051.92,3,0,0,0,0,0,1
BA1651,AG,6,1,8052.02,3,0,0,0,1,0,0
BA1651,AG,6,1,8053.72,3,0,0,0,0,0,1
