Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1653,AG,4,1,24747,7,8,2,0,1,0,0
BA1653,AG,4,1,24757,8,7,0,0,0,0,0
BA1653,AG,4,1,24789,7,0,0,0,0,0,1
BA1653,AG,4,1,24798,7,8,2,0,1,0,0
BA1653,AG,4,1,24804,8,0,0,0,0,0,1
BA1653,AG,4,1,24808,8,7,0,0,0,0,0
BA1653,AG,4,1,24846,7,8,2,0,1,0,0
BA1653,AG,4,1,24856,8,7,0,0,0,0,0
BA1653,AG,4,1,24881,7,0,0,0,0,0,1
BA1653,AG,4,1,24904,7,8,2,0,1,0,0
BA1653,AG,4,1,24909,8,0,0,0,0,0,1
BA1653,AG,4,1,24914,8,7,0,0,0,0,0
BA1653,AG,4,1,24916,7,8,2,0,1,0,0
BA1653,AG,4,1,24926,8,7,0,0,0,0,0
BA1653,AG,4,1,24933,7,0,0,0,0,0,1
BA1653,AG,4,1,24935,7,8,2,0,1,0,0
BA1653,AG,4,1,24945,8,7,0,0,0,0,0
BA1653,AG,4,1,25003,7,0,0,0,0,0,1
BA1653,AG,4,1,25096,7,8,2,0,1,0,0
BA1653,AG,4,1,25106,8,7,0,0,0,0,0
BA1653,AG,4,1,25133,7,0,0,0,0,0,1
BA1653,AG,4,1,25156,7,8,2,0,1,0,0
BA1653,AG,4,1,25159,8,0,0,0,0,0,1
BA1653,AG,4,1,25165,8,0,0,0,1,0,0
BA1653,AG,4,1,25166,8,7,0,0,0,0,0
BA1653,AG,4,1,25171,7,0,0,0,0,0,1
BA1653,AG,4,1,25172,7,8,2,0,1,0,0
BA1653,AG,4,1,25182,8,7,0,0,0,0,0
BA1653,AG,4,1,25227,7,0,0,0,0,0,1
BA1653,AG,4,1,25230,7,8,2,0,1,0,0
BA1653,AG,4,1,25231,8,0,0,0,0,0,1
BA1653,AG,4,1,25235,8,0,0,0,1,0,0
BA1653,AG,4,1,25240,8,7,0,0,0,0,0
BA1653,AG,4,1,25243,7,0,0,0,0,0,1
BA1653,AG,4,1,25287,7,8,2,0,1,0,0
BA1653,AG,4,1,25297,8,7,0,0,0,0,0
BA1653,AG,4,1,25351,7,0,0,0,0,0,1
BA1653,AG,4,1,25361,7,8,2,0,1,0,0
BA1653,AG,4,1,25363,8,0,0,0,0,0,1
BA1653,AG,4,1,25371,8,7,0,0,0,0,0
BA1653,AG,4,1,25424,7,8,2,0,1,0,0
BA1653,AG,4,1,25434,8,9,0,0,0,0,0
BA1653,AG,4,1,25441,9,0,0,0,0,0,1
BA1653,AG,4,1,25444,9,10,0,0,0,0,0
