Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	1	80	9	2	BA1651	3388	5	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3393	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3407	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3417	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3447	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3469	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3479	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3485	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3501	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3511	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3542	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3570	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3580	5	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3590	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3598	10	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3665	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3666	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3779	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3785	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	3789	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3822	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3828	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	3832	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3857	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3860	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	3867	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3880	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3890	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3899	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	3906	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3910	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	3916	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3925	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3935	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3941	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	3944	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3954	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4000	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4025	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4035	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4063	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4106	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4116	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4117	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4126	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4129	8	0	0	0	0	0	0	0	1	0	0
