Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	139	1	1	BA1650	3368	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3369	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3375	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3379	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3381	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3384	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3389	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3390	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3399	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3402	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3405	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3409	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3421	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3424	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3429	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3434	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3435	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3438	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3439	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3445	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3468	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3470	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3471	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3480	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3481	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3485	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3491	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3500	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3503	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3506	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3510	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3511	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3519	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3521	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3523	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3529	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3537	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3543	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3551	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3553	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3554	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3564	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3566	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3568	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3573	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3578	8	7	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3581	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3585	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3595	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3597	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3608	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3611	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3614	8	0	0	0	1	0	0	0	0	0	0
