date,time,fr25,fr50,fr75,fr100
,1830.64,1,*-99,*-99,*-99
,1835.3,0,*-99,*-99,*-99
,1880.04,1,*-99,*-99,*-99
,1881.6,1,*-99,*-99,*-99
,1883.48,1,*-99,*-99,*-99
,1884.45,1,*-99,*-99,*-99
,1887.05,0,*-99,*-99,*-99
,2916.39,1,*-99,*-99,*-99
,2920.2,1,*-99,*-99,*-99
,2921.95,1,*-99,*-99,*-99
,3023.95,1,*-99,*-99,*-99
,3111.48,1,*-99,*-99,*-99
,3116.2,1,*-99,*-99,*-99
,3133.98,1,*-99,*-99,*-99
,3135.14,1,*-99,*-99,*-99
,3135.97,1,*-99,*-99,*-99
,3137.1,1,*-99,*-99,*-99
,3137.59,1,*-99,*-99,*-99
,3138.77,1,*-99,*-99,*-99
,3160.82,1,*-99,*-99,*-99
,3161.88,1,*-99,*-99,*-99
,3163.99,1,*-99,*-99,*-99
,3164.3,1,*-99,*-99,*-99
,3165.2,1,*-99,*-99,*-99
,3165.66,1,*-99,*-99,*-99
,3166.56,1,*-99,*-99,*-99
,3167.07,1,*-99,*-99,*-99
,3168.07,1,*-99,*-99,*-99
,3169.39,1,*-99,*-99,*-99
,3171.76,1,*-99,*-99,*-99
,3172.24,1,*-99,*-99,*-99
,3173.42,1,*-99,*-99,*-99
,3174.71,1,*-99,*-99,*-99
,3175.58,1,*-99,*-99,*-99
,3176.8,1,*-99,*-99,*-99
,3177.84,1,*-99,*-99,*-99
,3178.25,1,*-99,*-99,*-99
,3179.42,1,*-99,*-99,*-99
,3180.94,1,*-99,*-99,*-99
,3182.7,1,*-99,*-99,*-99
,3183.17,1,*-99,*-99,*-99
,3185.07,1,*-99,*-99,*-99
,3185.68,1,*-99,*-99,*-99
,3189.0,1,*-99,*-99,*-99
,3206.63,1,*-99,*-99,*-99
,3209.23,1,*-99,*-99,*-99
,3210.45,1,*-99,*-99,*-99
,3210.82,1,*-99,*-99,*-99
,3211.91,1,*-99,*-99,*-99
,3212.31,1,*-99,*-99,*-99
,3213.33,1,*-99,*-99,*-99
,3213.69,1,*-99,*-99,*-99
,3215.36,1,*-99,*-99,*-99
,3215.71,1,*-99,*-99,*-99
,3216.56,1,*-99,*-99,*-99
,3217.2,1,*-99,*-99,*-99
,3218.24,1,*-99,*-99,*-99
,3218.62,1,*-99,*-99,*-99
,3220.64,1,*-99,*-99,*-99
,3221.62,1,*-99,*-99,*-99
,3222.75,1,*-99,*-99,*-99
,3224.31,1,*-99,*-99,*-99
,3225.06,1,*-99,*-99,*-99
,3226.29,1,*-99,*-99,*-99
,3227.01,1,*-99,*-99,*-99
,3227.49,1,*-99,*-99,*-99
,3229.6,1,*-99,*-99,*-99
,3231.17,1,*-99,*-99,*-99
,3231.53,1,*-99,*-99,*-99
,3245.9,1,*-99,*-99,*-99
,3246.12,1,*-99,*-99,*-99
,3247.19,1,*-99,*-99,*-99
,3247.73,1,*-99,*-99,*-99
,3248.03,1,*-99,*-99,*-99
